company_name,id,homepage_url
42,dab633e6-92bc-92a4-b749-21da835ad266,http://www.42.fr
47,db4be793-725e-468e-abbd-c058078d67c6,http://47brand.com
52,861d168c-b703-47ed-8b23-1cc06c3a297d,https://52inc.com/
55,01eb53db-bcee-c57f-3ab1-54fb53f6de65,http://www.fifty-five.com
99,c1723121-d8a2-457c-1b81-25fc42e78d95,http://99app.com
111,0680987f-23cd-4fa5-850c-38326fffaa36,http://corporate.111.com.cn
121,f937b68d-577b-4a77-8f6f-39d29fb220fd,http://121corp.com
216,11b04fed-bd66-7a84-32cd-3a8df0e36045,https://www.216.nl/
237,bd023349-36d4-4ec4-de8b-427dac4291f7,http://237.io/
366,ba116a57-c83c-0d99-0f71-dd0735fc19e7,http://www.366.fr/
